FID_1,X,Y,ID,Pb,Zn,Cu,SIGLE_PEDO,region_etm,GS
10449,214000,125000,41203/AW,,85.4444444444,15.6,Aba1,8,9
10450,214000,125000,41203/AX,,80.5726495726,15.1,Aba1,8,9
10451,214000,125000,41203/AY,,89.7179487179,16.5,Aba1,8,9
10613,218500,124700,41398H,,41.5128205128,9.23,Aba1,8,9
10533,218500,122200,41275/J,,77.9230769231,14.6,Aba1,8,9
10022,218200,126600,374006,19.2946428571,73.3815789474,13,Aba1,8,9
10023,218200,126600,374106,,72.9868421053,12.4086021505,Aba1,8,9
10025,218200,126750,374206,22.0714285714,94.8026315789,14.9784946237,Aba1,8,9
10378,210800,127400,41091/O,,88.8632478632,13,ADa1,8,9
10585,227400,133200,41340C,,106.811965812,11.8,ADa1,8,9
10498,218000,129500,41239/B,,85.4444444444,12.4,ADa1,8,9
10535,228900,128900,41275/N,,82.8803418803,13.2,ADa0,8,9
10497,217600,129425,41239/A,,105.957264957,16.9,Ada0,8,9
10460,223600,129400,41203/Y,,68.7777777778,13.6,Ada0,8,9
10583,228000,134210,41340A,,98.264957265,11.4,ADa1,8,9
10459,223450,129100,41203/X,,88.8632478632,13.4,Gbax4,8,19
10458,223400,128800,41203/U,,89.7179487179,13.5,Gbax4,8,19
10047,220200,122200,377306,29.1785714286,105.026315789,21.3978494624,GbBf2,8,13
10534,229100,129000,41275/M,,73.3076923077,11.5,GbBfp4,8,14
10013,215100,129100,373005,19.5089285714,49.8157894737,14.5268817204,GbBK2,8,19
10233,221037,128244,40205,,91.7631578947,10.8924731183,GbBK2,8,19
10625,227800,134300,41398U,,61.9401709402,10.9,GbBK2,8,19
10622,227800,134800,41398R,,66.3846153846,11.8,GbBK4,8,19
10537,222350,122800,41275/P,,94.8461538462,14.1,GbBK4,8,19
10694,216350,141050,41957,,59.1196581197,14.9,(x)Adp,6,9
10940,222287,135584,4474,30,145,12.9047619048,Aba1,6,9
10941,222367,135525,4475,32,152,12.9047619048,Aca1,6,9
10916,205191,135333,44607,,133.898989899,7.53125,ADa1,6,9
10919,205646,135938,44610,,123.797979798,5,ADp,6,9
11255,198824,133911,47_ALienard,133.756882,403.560761,24.5875815462,fAba2,6,9
10918,204786,135114,44609,,128.848484848,9.375,fAbB2_3,6,9
10917,205078,135189,44608,,127.838383838,6.171875,uADa2_3,6,9
10915,276268,110614,44606,,129.858585859,5.578125,aGbbfi2,16,31
11120,206779,148520,4615,,75.8181818182,14.7142857143,Aba1,2,4
10649,200500,144600,41472/C,,63.1367521367,10.9,Aba0,2,4
10665,219100,155425,41514,,55.188034188,12.6,Aba1,2,4
10895,216722,145430,444/002/S/ML/02/1,33.045045045,182.552631579,16.7142857143,Abp0,2,4
11119,209133,149830,4614,27.2589285714,86.8962264151,15.4,Abp0,2,4
10952,219165,127260,4482,,81,11.9523809524,(x)Aba,8,9
11141,221049,128696,4639,,102,13.8571428571,(x)Aba,8,9
11271,218156,126635,4720,26.4553571429,75.3867924528,14.3,(x)Aba,8,9
10740,221300,122600,426907,38.0982142857,86.4868421053,21.4301075269,(x)ADa,8,9
11122,221623,120446,4617,22,85,19.5714285714,A-Gbp1,8,9
10648,224300,125500,41472/B,,68.9487179487,10.9,A-Gbp1,8,9
10861,228500,127500,442507,22.7857142857,95.6973684211,16.9784946237,A-Gbp1,8,9
11021,216420,127194,454/001/S/ML/98/2,30.2181818182,111.5,15.7619047619,A-Gbp1,8,9
11312,220942,122785,4732,31.5446428571,104.160377358,25.8,A-GDa,8,9
11142,220961,129283,4640,37,139,15.7619047619,Aba1,8,9
11092,220654,127668,4589,,108,14.8095238095,Aba1,8,9
11093,220772,127742,4590,,95,14.8095238095,Aba1,8,9
11094,220630,127115,4591,,89,12.9047619048,Aba1,8,9
10647,224200,125600,41472/A,,72.1111111111,10.8,Aba1,8,9
10957,219198,127161,4483,23,80,11.9523809524,Aba1,8,9
10959,219217,127068,4484,25,88,14.8095238095,Aba1,8,9
10864,228750,127625,442607,29.6160714286,114.5,18.311827957,Aba1,8,9
11273,217028,126056,4722,23.8660714286,68.6886792453,13.4,Aba1,8,9
11274,217181,126131,4723,24.8482142857,69.2547169811,13.1,Aba1,8,9
11311,218185,124526,4731,23.6875,71.7075471698,14.8,Aba1,8,9
11272,218259,126589,4721,25.2053571429,71.8018867925,12.7,Aba1,8,9
10685,217428,122828,417301,,107,25.2857142857,ADa1,8,9
11095,218248,124880,4592,,121,13.8571428571,ADa1,8,9
11270,221298,120175,4719,20,74,13.8571428571,Gbax2,8,19
10646,222375,122750,414707,,96.3289473684,18.376344086,Gbax2,8,19
11121,221336,120770,4616,30,124,36.7142857143,GbBf4,8,13
10750,220700,122000,427007,21.6964285714,76.3157894737,15.3548387097,GbBK4,8,19
10751,220700,122000,427107,28.0446428571,92.9736842105,19.247311828,GbBK4,8,19
10752,220700,122000,427207,22.7678571429,79.4736842105,14.9139784946,GbBK4,8,19
11276,217754,125922,4724,24.4017857143,67.9339622641,13.3,GbBK4,8,19
11269,221485,120210,4718,22,72,11.9523809524,GbBK2,8,19
10644,222500,122500,414607,27.4821428571,99.6842105263,15.9892473118,GbBkf2,8,19
12034,200800,135800,51120/4,59.2,146,12.2,Aba1,6,9
11942,210263,140568,5060,27.0803571429,84.202020202,13.7619047619,Aba1,6,9
11943,210226,140220,5061,27.8839285714,83.1919191919,12.8095238095,Aba1,6,9
11944,210353,140330,5062,27.7946428571,75.2121212121,12.7142857143,Aba1,6,9
11945,210492,140417,5063,,79.0505050505,13.2857142857,Aba1,6,9
11946,210294,140019,5064,,86.9292929293,14.0476190476,Aba1,6,9
11947,210449,140076,5065,,86.9292929293,12.9047619048,Aba1,6,9
11948,210588,140136,5066,28.5089285714,86.5252525252,15.4761904762,Aba1,6,9
11949,210691,140221,5067,,99.2525252525,16.0476190476,Aba1,6,9
11950,210331,140811,5068,35.9196428571,102.98989899,17.7619047619,Aba1,6,9
11951,210430,140821,5069,28.8660714286,82.0808080808,15.1904761905,Aba1,6,9
11952,210446,140917,5070,27.5267857143,80.6666666667,15.2857142857,Aba1,6,9
11953,210442,141049,5071,25.6517857143,75.4141414141,14.9047619048,Aba1,6,9
12031,200800,135600,51120/18,55.4,131,9.96,ADa1,6,9
12036,200800,135600,51120/7,73.3,180,14.9,ADa1,6,9
11457,198534,134989,48_ALienard,74.837941,211.482223,20.3396949114,GbBt2,6,12
11623,198615,135216,49_ALienard,,149.548701,10.490546637,GDBt2,6,12
11800,218638,139292,5_ThBailleux,,,525.330386207,OX,6,43
11627,220800,147699,4902,28,116,18.619047619,Aba1,2,4
11628,220800,147699,4903,28,134,16.7142857143,Aba1,2,4
12023,218200,148300,51108,30.67,126.011235955,14.5483870968,Aba,2,4
11777,198233,143667,49946,,58,19,Aba1,2,4
11991,218000,148300,51008,31.38,118.404494382,15,Abp(c),2,4
12086,218400,148300,51208,29.99,114.561797753,14.5806451613,Abp(c),2,4
11437,223720,120834,4782,,75,10.0476190476,(x)Aba,8,9
11435,222451,120976,4780,32,114,20.5238095238,(x)Aba,8,9
11485,218290,132560,4807,28,97,12.9047619048,A-Gba,8,9
11487,218290,132560,4808,27,106,11.9523809524,A-Gba,8,9
11954,219677,125799,5072,21.8125,60.858490566,10.6,Aba1,8,9
11554,220220,121346,4846,,71,14.8095238095,Aba1,8,9
